Id,Template,Category,Page,Field,Property,Summary,Status,Notes
36,"Nationwide PreLit PreEnf Audio V6","Shown/usable state","Building Information","BuildingInformationPage.BuildingInformation.EstateAgentandContactDetails","visible","Several handlers decide it, and the template does not record which wins","",""
37,"Nationwide PreLit PreEnf Audio V6","Shown/usable state","Building Information","BuildingInformationPage.BuildingInformation.PriceListedFor","visible","Several handlers decide it, and the template does not record which wins","",""
38,"Nationwide PreLit PreEnf Audio V6","Shown/usable state","Building Information","BuildingInformationPage.BuildingInformation.TimeonMarket","visible","Several handlers decide it, and the template does not record which wins","",""
39,"Nationwide PreLit PreEnf Audio V6","Shown/usable state","Completion","Completion.Condition","visible","Several handlers decide it, and the template does not record which wins","",""
40,"Nationwide PreLit PreEnf Audio V6","Shown/usable state","Interview Part 2","InterviewPart2.IncomeandExpenditure1.PleaseUpdate2","visible","Several handlers decide it, and the template does not record which wins","",""
41,"Nationwide PreLit PreEnf Audio V6","Shown/usable state","Job Sheet","JobSheet.Next1","visible","Several handlers decide it, and the template does not record which wins","",""
42,"Nationwide PreLit PreEnf Audio V6","Shown/usable state","DPA","LloydsDPA.LloydsDPANext","visible","Several handlers decide it, and the template does not record which wins","",""
43,"Nationwide PreLit PreEnf Audio V6","Shown/usable state","Building Information","BuildingInformationPage.BuildingInformation.Bathrooms","visible","Left out for another reason","",""
44,"Nationwide PreLit PreEnf Audio V6","Shown/usable state","Building Information","BuildingInformationPage.BuildingInformation.Bedroooms","visible","Left out for another reason","",""
45,"Nationwide PreLit PreEnf Audio V6","Shown/usable state","Building Information","BuildingInformationPage.BuildingInformation.EWCSImage","visible","Left out for another reason","",""
46,"Nationwide PreLit PreEnf Audio V6","Shown/usable state","Building Information","BuildingInformationPage.BuildingInformation.Garage","visible","Left out for another reason","",""
47,"Nationwide PreLit PreEnf Audio V6","Shown/usable state","Building Information","BuildingInformationPage.BuildingInformation.GarageType","visible","Left out for another reason","",""
48,"Nationwide PreLit PreEnf Audio V6","Shown/usable state","Building Information","BuildingInformationPage.BuildingInformation.Ifyeswhichflooristheflatlocatedandhowwasaccesgained","visible","Left out for another reason","",""
49,"Nationwide PreLit PreEnf Audio V6","Shown/usable state","Building Information","BuildingInformationPage.BuildingInformation.Kitchens","visible","Left out for another reason","",""
50,"Nationwide PreLit PreEnf Audio V6","Shown/usable state","Building Information","BuildingInformationPage.BuildingInformation.PetsLivestockattheproperty","visible","Left out for another reason","",""
51,"Nationwide PreLit PreEnf Audio V6","Shown/usable state","Building Information","BuildingInformationPage.BuildingInformation.ReceptionRooms","visible","Left out for another reason","",""
52,"Nationwide PreLit PreEnf Audio V6","Shown/usable state","Building Information","BuildingInformationPage.BuildingInformation.TickthistoagreethatyouhaveuploadedanimageoftheExternalWallCladdingSystem","visible","Left out for another reason","",""
53,"Nationwide PreLit PreEnf Audio V6","Shown/usable state","Building Information","BuildingInformationPage.BuildingInformation.lookoccupied","visible","Left out for another reason","",""
54,"Nationwide PreLit PreEnf Audio V6","Shown/usable state","Building Information","BuildingInformationPage.BuildingInformation.usedcommercially","visible","Left out for another reason","",""
